X0,X1,X2,X3,Y0,Y1,Y2,Y3,U0,U1,U2,U3
1.808380186557769775e-01,2.076361626386642456e-01,-2.696635425090789795e-01,-2.416070401668548584e-01,-2.212269544601440430e+00,-6.800093650817871094e-01,1.779410123825073242e+00,-2.157720327377319336e+00,-2.404388347789881308e+00,-6.701603584078834330e-02,1.756828755870746717e+00,-4.008996490083630349e+00
1.759247332811355591e-01,2.071899622678756714e-01,-2.724925279617309570e-01,-2.440042346715927124e-01,-2.222767829895019531e+00,-7.113502025604248047e-01,1.808501362800598145e+00,-2.175794601440429688e+00,-2.404406975637244592e+00,-1.044923928395354029e-01,1.806017403281527045e+00,-3.999975387383797099e+00
1.710321307182312012e-01,2.067812085151672363e-01,-2.752222418785095215e-01,-2.463567852973937988e-01,-2.233152389526367188e+00,-7.423591017723083496e-01,1.837270379066467285e+00,-2.193458557128906250e+00,-2.404417691314005179e+00,-1.419142948193536924e-01,1.854214493083699455e+00,-3.990757994201697301e+00
1.661618798971176147e-01,2.064083367586135864e-01,-2.778545618057250977e-01,-2.486649155616760254e-01,-2.243418455123901367e+00,-7.730293869972229004e-01,1.865710616111755371e+00,-2.210713386535644531e+00,-2.404421047601809747e+00,-1.792613676278000112e-01,1.901432432071156198e+00,-3.981348293915777603e+00
1.613156050443649292e-01,2.060700803995132446e-01,-2.803915143013000488e-01,-2.509289383888244629e-01,-2.253562450408935547e+00,-8.033545613288879395e-01,1.893816471099853516e+00,-2.227560043334960938e+00,-2.404417571804511766e+00,-2.165140920877411113e-01,1.947683521425267905e+00,-3.971750221978101347e+00
1.564944684505462646e-01,2.057648748159408569e-01,-2.828347086906433105e-01,-2.531489729881286621e-01,-2.263578414916992188e+00,-8.333292603492736816e-01,1.921581745147705078e+00,-2.243998765945434570e+00,-2.404407765918663564e+00,-2.536538019320620507e-01,1.992979956714901579e+00,-3.961967665914346792e+00
1.516999155282974243e-01,2.054914683103561401e-01,-2.851861715316772461e-01,-2.553251385688781738e-01,-2.273462533950805664e+00,-8.629486560821533203e-01,1.949001073837280273e+00,-2.260030746459960938e+00,-2.404392096833004366e+00,-2.906635952421278701e-01,2.037333771748515154e+00,-3.952004402001466854e+00
1.469332426786422729e-01,2.052484154701232910e-01,-2.874477207660675049e-01,-2.574574947357177734e-01,-2.283210039138793945e+00,-8.922080397605895996e-01,1.976068019866943359e+00,-2.275656700134277344e+00,-2.404371012090142923e+00,-3.275269649373411252e-01,2.080756922795028885e+00,-3.941864190250089717e+00
1.421955227851867676e-01,2.050346881151199341e-01,-2.896212041378021240e-01,-2.595461606979370117e-01,-2.292817592620849609e+00,-9.211041331291198730e-01,2.002779006958007812e+00,-2.290878772735595703e+00,-2.404344939119005264e+00,-3.642278662110683962e-01,2.123261284307457863e+00,-3.931550769581764193e+00
1.374877989292144775e-01,2.048488557338714600e-01,-2.917086780071258545e-01,-2.615914344787597656e-01,-2.302281379699707031e+00,-9.496341943740844727e-01,2.029129743576049805e+00,-2.305698871612548828e+00,-2.404314277459999261e+00,-4.007514604352779841e-01,2.164858603142950422e+00,-3.921067806199304062e+00
